CUSTOMER_NUMBER_BLINDED,SALES_OFFICE_DESCRIPTION,DELIVERY_PLANT_DESCRIPTION,ON_BOARDING_DATE,ADDRESS_CITY,ADDRESS_ZIP_CODE,COUNTY,GEO_LONGITUDE,GEO_LATITUDE,CUSTOMER_ACTIVITY_CLUSTER_DESCRIPTION,CUSTOMER_TRADE_CHANNEL_DESCRIPTION,CUSTOMER_SUB_TRADE_CHANNEL_DESCRIPTION,BUSINESS_TYPE_EXTENSION_DESCRIPTION,CUSTOMER_TRADE_CHANNEL_DESCRIPTION2,MARKET_DESCRIPTION,COLD_DRINK_CHANNEL_DESCRIPTION
C00000006736636431590,"Tempe, AZ","Tempe, AZ",7/2/2014,MESA,85203-8744,MARICOPA,-111.815157,33.415584,Eating & Drinking,Quick Service Restau,QSR-Mexican,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000231822281515649,"Tacoma, WA","Tacoma Sales Center, WA",3/7/2015,SHELTON,98584-2935,MASON,-123.126468,47.226279,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000131021534641833,"Price, UT","Price, UT",2/29/2012,MOAB,84532,GRAND,-109.550094,38.565077,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000009711697211928,"Alamosa, CO","Alamosa, CO",2/20/2019,ALAMOSA,81101-2558,ALAMOSA,-105.866285,37.46819,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000008537316631095,"Logan, UT","Logan, UT",9/1/1984,LOGAN,84321,CACHE,-111.879245,41.74666,Entertainment/Recrea,Amusement,Amusement/Theme Park,DSD,Amusement,ON PREMISE                    ,DESTINATION VENUE             
C00000004078191295125,"Draper, UT","Draper, UT",5/15/2019,MIDVALE,84047-1261,SALT LAKE,-111.89015,40.6254,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000969203511821923,"Tacoma, WA","Tacoma Sales Center, WA",2/2/2010,TACOMA,98409-4215,PIERCE,-122.483282,47.205889,Eating & Drinking,Quick Service Restau,QSR-Hamburger,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000000773276361828,"Draper, UT","Draper, UT",8/9/2010,OREM,84057,UTAH,-111.718795,40.312011,Eating & Drinking,Quick Service Restau,QSR-Mexican,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000175717911751294,"Grand Junction, CO","Grand Junction, CO",7/22/2009,FRUITA,81521,MESA,-108.736325,39.16433,At-Work,Health/Hospital,Other Health/Hospita,DSD,Health/Hospital,ON PREMISE                    ,HEALTH/HOSPITAL               
C00000018828539011142,"Eugene, OR","Eugene, OR",2/14/2022,SPRINGFIELD,97477-3351,LANE,-123.00169,44.056905,Eating & Drinking,Bar/Tavern/Licensed,Other Bar/Tavern/Lic,DSD,Bar/Tavern/Licensed,ON PREMISE                    ,EATING/DRINKING               
C00000003829541246226,"Bellevue, WA","Bellevue, WA",4/11/2019,BOTHELL,98012-5233,SNOHOMISH,-122.208917,47.830689,Entertainment/Recrea,Amusement,Amusement/Theme Park,DSD,Amusement,ON PREMISE                    ,DESTINATION VENUE             
C00001513140911651030,"Draper, UT","Draper, UT",2/19/2019,SANDY,84070-3403,SALT LAKE,-111.872588,40.57947,Eating & Drinking,Quick Service Restau,QSR-Other Fast Food,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000019132331508483,"Glendale, AZ","Glendale, AZ",12/17/2021,PHOENIX,85053-7716,MARICOPA,-112.119275,33.61083,Eating & Drinking,Quick Service Restau,QSR-Other Fast Food,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000002901441346694,"Denver, CO","Denver, CO",9/17/2013,DENVER,80216-2402,DENVER,-104.946345,39.79101,Entertainment/Recrea,Amusement,Amusement/Theme Park,DSD,Amusement,ON PREMISE                    ,DESTINATION VENUE             
C00000024918282446178,"Tempe, AZ","Tempe, AZ",9/15/2020,FOUNTAIN HILLS,85268-2755,MARICOPA,-111.731983,33.613462,Educational,Primary/Secondary Sc,EDUCATION - NON REST,DSD,Primary/Secondary Sc,ON PREMISE                    ,GOV'T/EDU                     
C00000552187720691657,"Draper, UT","Draper, UT",5/29/1991,OAKLEY,84055,SUMMIT,-111.29397,40.709735,Eating & Drinking,Quick Service Restau,QSR-Hamburger,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00001475218423262450,"Wilsonville, OR","Wilsonville, OR",7/27/2011,PORTLAND,97223-3439,WASHINGTON,-122.747934,45.465976,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000132257914112260,"Denver, CO","Denver, CO",2/27/2018,DENVER,80127-1170,DENVER,-105.10984,39.626655,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000077810831279320,"Wilsonville, OR","Wilsonville, OR",6/19/2019,TUALATIN,97062-6895,CLACKAMAS,-122.792919,45.373468,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000013131364688714,"Wilsonville, OR","Wilsonville, OR",7/22/2004,PORTLAND,97224-3578,WASHINGTON,-122.787464,45.405981,Entertainment/Recrea,Recreation,Other Recreation,DSD,Recreation,ON PREMISE                    ,DESTINATION VENUE             
C00000103518722421145,"Draper, UT","Draper, UT",12/23/2016,SPANISH FORK,84660-2312,UTAH,-111.6332,40.10933,Eating & Drinking,Other Eating & Drink,Other Eating & Drink,DSD,Other Eating & Drink,ON PREMISE                    ,EATING/DRINKING               
C00000041422851551601,"Arlington, WA","Arlington, WA",7/27/2011,MONROE,98272-1580,SNOHOMISH,-121.969435,47.859115,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000000552252072864,"Elko, NV","Elko, NV",8/4/2020,ELKO,89801-3913,ELKO,-115.75651,40.83653,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
